"film_id","actor_id","title","first_name","last_name","rental_duration","rental_rate","length","replacement_cost","rating"
1,1,"Academy Dinosaur","Penelope","Guiness",6,0.99,86,20.99,"PG"
23,1,"Anaconda Confessions","Penelope","Guiness",3,0.99,92,9.99,"R"
25,1,"Angels Life","Penelope","Guiness",3,2.99,74,15.99,"G"
106,1,"Bulworth Commandments","Penelope","Guiness",4,2.99,61,14.99,"G"
140,1,"Cheaper Clyde","Penelope","Guiness",6,0.99,87,23.99,"G"
166,1,"Color Philadelphia","Penelope","Guiness",6,2.99,149,19.99,"G"
277,1,"Elephant Trojan","Penelope","Guiness",4,4.99,126,24.99,"PG-13"
361,1,"Gleaming Jawbreaker","Penelope","Guiness",5,2.99,89,25.99,"NC-17"
438,1,"Human Graffiti","Penelope","Guiness",3,2.99,68,22.99,"NC-17"
499,1,"King Evolution","Penelope","Guiness",3,4.99,184,24.99,"NC-17"
506,1,"Lady Stage","Penelope","Guiness",4,4.99,67,14.99,"PG"
509,1,"Language Cowboy","Penelope","Guiness",5,0.99,78,26.99,"NC-17"
605,1,"Mulholland Beast","Penelope","Guiness",7,2.99,157,13.99,"PG"
635,1,"Oklahoma Jumanji","Penelope","Guiness",7,0.99,58,15.99,"PG"
749,1,"Rules Human","Penelope","Guiness",6,4.99,153,19.99,"R"
832,1,"Splash Gump","Penelope","Guiness",5,0.99,175,16.99,"PG"
939,1,"Vertigo Northwest","Penelope","Guiness",4,2.99,90,17.99,"R"
970,1,"Westward Seabiscuit","Penelope","Guiness",7,0.99,52,11.99,"NC-17"
980,1,"Wizard Coldblooded","Penelope","Guiness",4,4.99,75,12.99,"PG"
3,2,"Adaptation Holes","Nick","Wahlberg",7,2.99,50,18.99,"NC-17"
31,2,"Apache Divine","Nick","Wahlberg",5,4.99,92,16.99,"NC-17"
47,2,"Baby Hall","Nick","Wahlberg",5,4.99,153,23.99,"NC-17"
105,2,"Bull Shawshank","Nick","Wahlberg",6,0.99,125,21.99,"NC-17"
132,2,"Chainsaw Uptown","Nick","Wahlberg",6,0.99,114,25.99,"PG"
145,2,"Chisum Behavior","Nick","Wahlberg",5,4.99,124,25.99,"G"
226,2,"Destiny Saturday","Nick","Wahlberg",4,4.99,56,20.99,"G"
249,2,"Dracula Crystal","Nick","Wahlberg",7,0.99,176,26.99,"G"
314,2,"Fight Jawbreaker","Nick","Wahlberg",3,0.99,91,13.99,"R"
321,2,"Flash Wars","Nick","Wahlberg",3,4.99,123,21.99,"NC-17"
357,2,"Gilbert Pelican","Nick","Wahlberg",7,0.99,114,13.99,"G"
369,2,"Goodfellas Salute","Nick","Wahlberg",4,4.99,56,22.99,"PG"
399,2,"Happiness United","Nick","Wahlberg",6,2.99,100,23.99,"G"
458,2,"Indian Love","Nick","Wahlberg",4,0.99,135,26.99,"NC-17"
481,2,"Jekyll Frogmen","Nick","Wahlberg",4,2.99,58,22.99,"PG"
485,2,"Jersey Sassy","Nick","Wahlberg",6,4.99,60,16.99,"PG"
518,2,"Liaisons Sweet","Nick","Wahlberg",5,4.99,140,15.99,"PG"
540,2,"Lucky Flying","Nick","Wahlberg",7,2.99,97,10.99,"PG-13"
550,2,"Maguire Apache","Nick","Wahlberg",6,2.99,74,22.99,"NC-17"
555,2,"Mallrats United","Nick","Wahlberg",4,0.99,133,25.99,"PG"
561,2,"Mask Peach","Nick","Wahlberg",6,2.99,123,26.99,"NC-17"
742,2,"Roof Champion","Nick","Wahlberg",7,0.99,101,25.99,"R"
754,2,"Rushmore Mermaid","Nick","Wahlberg",6,2.99,150,17.99,"PG-13"
811,2,"Smile Earring","Nick","Wahlberg",4,2.99,60,29.99,"G"
958,2,"Wardrobe Phantom","Nick","Wahlberg",6,2.99,178,19.99,"G"
17,3,"Alone Trip","Ed","Chase",3,0.99,82,14.99,"R"
40,3,"Army Flintstones","Ed","Chase",4,0.99,148,22.99,"R"
42,3,"Artist Coldblooded","Ed","Chase",5,2.99,170,10.99,"NC-17"
87,3,"Boondock Ballroom","Ed","Chase",7,0.99,76,14.99,"NC-17"
111,3,"Caddyshack Jedi","Ed","Chase",3,0.99,52,17.99,"NC-17"
185,3,"Cowboy Doom","Ed","Chase",3,2.99,146,10.99,"PG"
289,3,"Eve Resurrection","Ed","Chase",5,4.99,66,25.99,"G"
329,3,"Forrest Sons","Ed","Chase",4,2.99,63,15.99,"R"
336,3,"French Holiday","Ed","Chase",5,4.99,99,22.99,"PG"
341,3,"Frost Head","Ed","Chase",5,0.99,82,13.99,"PG"
393,3,"Halloween Nuts","Ed","Chase",6,2.99,47,19.99,"PG-13"
